Player Last Name,Player Primary Position,Drill Title,Drill Start Time,Drill End Time,Session Start Time,Session End Time,Total Time,Total Distance,Distance Zone 4 (Absolute),Distance Zone 5 (Absolute),Distance Zone 6 (Absolute),HSR Per Minute (Absolute),Sprint Distance,Accelerations Per Min,Decelerations Per Min,Max Speed,Distance Per Min,Accelerations,Decelerations,HMLD Per Minute,HML Distance,
"Baco",,"Entire Session",11:11:12,13:01:03,11:00:08,13:07:54,01:49:49,5494,323,247,36,2.57,335,0.49,0.28,27.86,50.03,54,31,6.97,765,
"Baco",,"Entire Session - Live",11:15:02,13:00:25,11:00:08,13:07:54,01:45:23,5288,289,238,36,2.6,299,0.5,0.29,27.86,50.18,53,31,7.11,749,
"Baco",,"Rondo 6vs2 (6*6m)",11:34:09,11:52:10,11:00:08,13:07:54,00:18:00,581,0,0,0,0,0,0.28,0,12.87,32.24,5,0,0.64,11,
"Baco",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 1",11:55:50,11:57:50,11:00:08,13:07:54,00:02:00,206,19,0,0,0,0,3,1,17.19,102.84,6,2,25.28,51,
"Baco",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 3",12:01:35,12:03:37,11:00:08,13:07:54,00:02:01,169,8,0,0,0,0,1.48,1.48,19.75,82.98,3,3,15.08,31,
"Baco",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 4",12:04:22,12:06:21,11:00:08,13:07:54,00:01:59,194,10,0,0,0,0,1.5,2,16.3,97.12,3,4,15,30,
"Baco",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 6",12:10:21,12:12:01,11:00:08,13:07:54,00:01:40,177,12,0,0,0,0,2.39,0.6,18.69,105.3,4,1,19.5,33,
"Baco",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 7",12:12:53,12:14:54,11:00:08,13:07:54,00:02:01,241,8,0,0,0,0,2.97,1.49,15.72,119.61,6,3,23.18,47,
"Baco",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 9",12:18:25,12:20:27,11:00:08,13:07:54,00:02:01,192,9,6,0,3.15,9,1.97,0.49,21.68,94.61,4,1,17.67,36,
"Baco",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 2",12:30:12,12:32:45,11:00:08,13:07:54,00:02:32,316,45,14,0,5.5,15,1.97,1.97,23.35,124.3,5,5,28.08,71,
"Baco",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 3",12:33:44,12:36:15,11:00:08,13:07:54,00:02:31,297,33,8,0,3.09,8,0.79,1.19,23.41,117.72,2,3,21.53,54,
"Baco",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 5",12:40:47,12:43:20,11:00:08,13:07:54,00:02:33,287,34,1,0,0.22,0,1.57,1.57,20.28,112.41,4,4,24.91,64,
"Baco",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 6",12:44:18,12:47:08,11:00:08,13:07:54,00:02:50,319,51,21,1,7.79,26,1.41,0.7,25.27,112.09,4,2,26.23,75,
"Baco",,"Accelerate to Sprint 4*73m 11''/45''",12:51:31,12:54:36,11:00:08,13:07:54,00:03:04,363,53,189,34,72.47,242,0.97,0.32,27.86,117.86,3,1,73.13,225,
"Glazer",,"Entire Session",11:00:08,13:06:45,11:00:08,13:07:54,02:06:35,6604,402,161,118,2.2,289,0.48,0.48,28.54,52.17,61,61,7.28,922,
"Glazer",,"Entire Session - Live",11:15:02,13:00:25,11:00:08,13:07:54,01:45:23,5908,402,161,118,2.64,289,0.58,0.56,28.54,56.06,61,59,8.71,918,
"Glazer",,"Rondo 6vs2 (6*6m)",11:34:09,11:52:10,11:00:08,13:07:54,00:18:00,628,2,0,0,0,0,0.56,0.67,16.59,34.88,10,12,1.91,34,
"Glazer",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 1",11:55:50,11:57:50,11:00:08,13:07:54,00:02:00,204,42,0,0,0,0,1,2.5,19.57,102.14,2,5,32.85,66,
"Glazer",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 2",11:58:49,12:00:50,11:00:08,13:07:54,00:02:01,201,21,1,0,0.57,0,1.49,1.49,21.18,99.35,3,3,20.51,41,
"Glazer",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 4",12:04:22,12:06:21,11:00:08,13:07:54,00:01:59,211,28,0,0,0,0,2,2,19.63,105.34,4,4,25.42,51,
"Glazer",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 5",12:07:11,12:09:15,11:00:08,13:07:54,00:02:04,234,35,2,0,0.81,0,2.42,0.97,20.33,113.08,5,2,30.57,63,
"Glazer",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 7",12:12:53,12:14:54,11:00:08,13:07:54,00:02:01,196,16,0,0,0,0,1.49,1.98,17.9,96.89,3,4,21.21,43,
"Glazer",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 8",12:15:39,12:17:39,11:00:08,13:07:54,00:02:00,217,42,6,0,3.16,4,1.99,2.98,22.83,107.74,4,6,30.71,62,
"Glazer",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 1",12:26:50,12:29:15,11:00:08,13:07:54,00:02:25,314,51,14,0,5.64,15,1.24,2.07,24.02,129.76,3,5,33.19,80,
"Glazer",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 3",12:33:44,12:36:15,11:00:08,13:07:54,00:02:31,267,21,0,0,0,0,1.98,0.79,18.49,106.13,5,2,17.76,45,
"Glazer",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 4",12:37:14,12:39:45,11:00:08,13:07:54,00:02:30,235,8,0,0,0,0,0.4,1.99,17.36,93.26,1,5,10.16,26,
"Glazer",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 6",12:44:18,12:47:08,11:00:08,13:07:54,00:02:50,330,32,0,0,0,0,1.41,0.7,18.87,116.04,4,2,21.45,61,
"Glazer",,"Accelerate to Sprint 4*73m 11''/45''",12:51:31,12:54:36,11:00:08,13:07:54,00:03:04,373,36,129,118,80.21,254,1.62,0.32,28.54,121.21,5,1,79.33,244,
"Shalom",,"Entire Session",11:02:35,13:06:22,11:00:08,13:07:54,02:03:44,5789,391,82,6,0.71,98,0.38,0.37,26.32,46.78,47,46,5.36,663,
"Shalom",,"Entire Session - Live",11:15:02,13:00:25,11:00:08,13:07:54,01:45:23,5227,391,82,6,0.83,98,0.45,0.44,26.32,49.6,47,46,6.29,663,
"Shalom",,"Rondo 6vs2 (6*6m)",11:34:09,11:52:10,11:00:08,13:07:54,00:18:00,722,0,0,0,0,0,0.61,0.39,14.24,40.09,11,7,1.24,22,
"Shalom",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 1",11:55:50,11:57:50,11:00:08,13:07:54,00:02:00,246,44,2,0,0.86,0,1.5,1,21.05,123.14,3,2,32.83,66,
"Shalom",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 2",11:58:49,12:00:50,11:00:08,13:07:54,00:02:01,237,37,12,0,6.02,16,1.98,1.98,22.5,117.42,4,4,34.48,70,
"Shalom",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 4",12:04:22,12:06:21,11:00:08,13:07:54,00:01:59,205,22,0,0,0,0,0.5,2,19.2,102.73,1,4,18.75,37,
"Shalom",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 5",12:07:11,12:09:15,11:00:08,13:07:54,00:02:04,218,37,0,0,0,0,2.42,0.97,18.38,105.54,5,2,24.19,50,
"Shalom",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 7",12:12:53,12:14:54,11:00:08,13:07:54,00:02:01,246,15,0,0,0,0,0.99,1.98,17.84,121.78,2,4,27.98,56,
"Shalom",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 8",12:15:39,12:17:39,11:00:08,13:07:54,00:02:00,218,29,1,0,0.57,0,1.99,1.49,21.25,108.37,4,3,21.93,44,
"Shalom",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 1",12:26:50,12:29:15,11:00:08,13:07:54,00:02:25,309,51,7,0,2.84,9,1.24,2.07,21.21,127.62,3,5,27.27,66,
"Shalom",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 3",12:33:44,12:36:15,11:00:08,13:07:54,00:02:31,264,17,0,0,0,0,1.59,2.38,17.42,104.59,4,6,20.21,51,
"Shalom",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 4",12:37:14,12:39:45,11:00:08,13:07:54,00:02:30,313,60,27,0,10.77,31,1.59,1.19,23.77,124.37,4,3,34.64,87,
"Shalom",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 6",12:44:18,12:47:08,11:00:08,13:07:54,00:02:50,368,68,33,6,13.53,41,1.76,2.11,26.32,129.5,5,6,36.06,103,
"Yao",,"Entire Session",11:14:08,13:07:18,11:00:08,13:07:54,01:53:09,4139,332,212,82,2.6,318,0.71,0.48,28.04,36.58,80,54,6.79,769,
"Yao",,"Entire Session - Live",11:15:02,13:00:25,11:00:08,13:07:54,01:45:23,3979,332,212,82,2.79,318,0.76,0.51,28.04,37.76,80,54,7.29,769,
"Yao",,"Rondo 6vs2 (6*6m)",11:34:09,11:52:10,11:00:08,13:07:54,00:18:00,439,0,0,0,0,0,0.28,0.17,12.39,24.36,5,3,0.35,6,
"Yao",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 2",11:58:49,12:00:50,11:00:08,13:07:54,00:02:01,195,15,0,0,0,0,2.97,2.48,18.49,96.34,6,5,18.59,38,
"Yao",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 3",12:01:35,12:03:37,11:00:08,13:07:54,00:02:01,206,37,0,0,0,0,3.94,2.46,19.38,101.49,8,5,26.79,54,
"Yao",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 5",12:07:11,12:09:15,11:00:08,13:07:54,00:02:04,210,13,6,0,2.92,8,1.94,1.94,23.9,101.37,4,4,21.51,44,
"Yao",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 6",12:10:21,12:12:01,11:00:08,13:07:54,00:01:40,130,13,4,0,2.45,6,4.17,1.79,22.14,77.58,7,3,22.05,37,
"Yao",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 8",12:15:39,12:17:39,11:00:08,13:07:54,00:02:00,205,29,1,0,0.57,0,4.97,2.98,20.67,101.97,10,6,31.1,63,
"Yao",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 9",12:18:25,12:20:27,11:00:08,13:07:54,00:02:01,201,24,11,0,5.38,13,2.96,3.94,22.12,99.31,6,8,27.26,55,
"Yao",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 1",12:26:50,12:29:15,11:00:08,13:07:54,00:02:25,248,46,16,0,6.8,21,2.89,2.07,24.9,102.5,7,5,29.04,70,
"Yao",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 2",12:30:12,12:32:45,11:00:08,13:07:54,00:02:32,288,41,5,0,2.05,6,3.54,1.57,21.45,113.19,9,4,27.59,70,
"Yao",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 4",12:37:14,12:39:45,11:00:08,13:07:54,00:02:30,213,23,13,0,5.07,13,2.38,1.99,24.69,84.52,6,5,17.45,44,
"Yao",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 5",12:40:47,12:43:20,11:00:08,13:07:54,00:02:33,236,50,9,0,3.56,9,1.57,1.96,21.59,92.5,4,5,25.78,66,
"Yao",,"Accelerate to Sprint 4*73m 11''/45''",12:51:31,12:54:36,11:00:08,13:07:54,00:03:04,319,41,146,82,74.04,242,1.62,0,28.04,103.66,5,0,69.9,215,
"Agvadish",,"Entire Session",11:04:38,13:03:52,11:00:08,13:07:54,01:59:11,6045,445,212,119,2.78,339,0.55,0.59,31.16,50.71,66,70,8.14,971,
"Agvadish",,"Entire Session - Live",11:15:02,13:00:25,11:00:08,13:07:54,01:45:23,5579,445,212,119,3.14,339,0.63,0.66,31.16,52.94,66,70,9.21,971,
"Agvadish",,"Rondo 6vs2 (6*6m)",11:34:09,11:52:10,11:00:08,13:07:54,00:18:00,716,1,0,0,0,0,0.61,0.83,15.51,39.76,11,15,2.43,44,
"Agvadish",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 2",11:58:49,12:00:50,11:00:08,13:07:54,00:02:01,242,27,0,0,0,0,0.5,1.98,18,119.9,1,4,23.4,47,
"Agvadish",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 3",12:01:35,12:03:37,11:00:08,13:07:54,00:02:01,221,26,3,0,1.66,0,2.46,4.43,20.59,108.75,5,9,29.42,60,
"Agvadish",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 5",12:07:11,12:09:15,11:00:08,13:07:54,00:02:04,226,17,3,0,1.4,0,2.9,1.94,21.12,109.21,6,4,21.73,45,
"Agvadish",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 6",12:10:21,12:12:01,11:00:08,13:07:54,00:01:40,177,33,0,0,0,0,1.79,3.58,17.96,105.78,3,6,29.44,49,
"Agvadish",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 8",12:15:39,12:17:39,11:00:08,13:07:54,00:02:00,233,40,0,0,0,0,1.49,1.99,18.24,115.8,3,4,34.48,69,
"Agvadish",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 9",12:18:25,12:20:27,11:00:08,13:07:54,00:02:01,209,12,7,0,3.53,7,2.96,1.97,23.15,103.09,6,4,21.41,43,
"Agvadish",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 1",12:26:50,12:29:15,11:00:08,13:07:54,00:02:25,311,51,27,1,11.81,29,0.83,2.48,26.01,128.62,2,6,33,80,
"Agvadish",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 2",12:30:12,12:32:45,11:00:08,13:07:54,00:02:32,314,55,2,0,0.67,0,2.75,1.97,20.68,123.64,7,5,29.2,74,
"Agvadish",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 4",12:37:14,12:39:45,11:00:08,13:07:54,00:02:30,316,48,10,2,4.81,13,3.58,2.38,25.55,125.54,9,6,32.92,83,
"Agvadish",,"SSG 6vs6, 3 Teams Tournament (30*45m) Set 5",12:40:47,12:43:20,11:00:08,13:07:54,00:02:33,313,78,33,0,12.94,38,1.57,1.57,23.64,122.35,4,4,37.9,97,
"Agvadish",,"Accelerate to Sprint 4*73m 11''/45''",12:51:31,12:54:36,11:00:08,13:07:54,00:03:04,337,33,126,115,78.55,252,1.3,0,31.16,109.43,4,0,67.94,209,
"Prada",,"Entire Session",11:03:04,13:03:53,11:00:08,13:07:54,02:00:45,6204,612,148,146,2.43,331,0.57,0.67,29.47,51.38,69,81,8.84,1067,
"Prada",,"Entire Session - Live",11:15:02,13:00:25,11:00:08,13:07:54,01:45:23,5605,612,148,146,2.79,331,0.65,0.77,29.47,53.18,69,81,10.12,1066,
"Prada",,"Rondo 6vs2 (6*6m)",11:34:09,11:52:10,11:00:08,13:07:54,00:18:00,583,0,0,0,0,0,0.44,0.5,14.15,32.39,8,9,1.67,30,
"Prada",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 1",11:55:50,11:57:50,11:00:08,13:07:54,00:02:00,247,45,2,0,1.13,0,3,1,20.71,123.4,6,2,33.3,67,
"Prada",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 3",12:01:35,12:03:37,11:00:08,13:07:54,00:02:01,253,49,9,0,4.37,10,2.46,3.45,22.88,124.67,5,7,41.04,83,
"Prada",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 4",12:04:22,12:06:21,11:00:08,13:07:54,00:01:59,240,57,6,0,2.92,5,2,3.5,22.5,119.98,4,7,33.09,66,
"Prada",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 6",12:10:21,12:12:01,11:00:08,13:07:54,00:01:40,209,25,2,0,1.36,0,5.37,4.17,20.78,124.87,9,7,37.07,62,
"Prada",,"Possession Game 5vs5+5F + 1GK (32*20m) Set 7",12:12:53,12:14:54,11:00:08,13:07:54,00:02:01,254,36,0,0,0,0,0.99,2.48,18.85,125.94,2,5,34.69,70,
