Player Last Name,Player Primary Position,Drill Title,Drill Start Time,Drill End Time,Session Start Time,Session End Time,Total Time,Total Distance,Distance Zone 4 (Absolute),Distance Zone 5 (Absolute),Distance Zone 6 (Absolute),HSR Per Minute (Absolute),Sprint Distance,Accelerations Per Min,Decelerations Per Min,Max Speed,Distance Per Min,Accelerations,Decelerations,HMLD Per Minute,HML Distance,
"Baco",,"Entire Session",10:05:25,11:26:42,09:40:40,11:59:04,01:21:15,3923,133,44,0,0.54,52,0.39,0.14,23.65,48.28,32,11,3.76,305,
"Baco",,"Entire Session - Live",10:05:25,11:21:08,09:40:40,11:59:04,01:15:41,3638,133,44,0,0.58,52,0.42,0.15,23.65,48.07,32,11,4.03,305,
"Baco",,"Warm -up, Explosive Power With Body Weight",10:12:06,10:23:04,09:40:40,11:59:04,00:10:58,563,4,0,0,0,0,0.09,0,16.36,51.28,1,0,1.53,17,
"Baco",,"Rondo 5vs2 (6*6m)",10:23:56,10:32:00,09:40:40,11:59:04,00:08:03,310,0,0,0,0,0,0.25,0,10.9,38.43,2,0,1.07,9,
"Baco",,"Possession Game 4vs4+3J, 4 Mini Goals (12*18m) Set 1",10:36:09,10:37:09,09:40:40,11:59:04,00:01:00,31,0,0,0,0,0,0,0,7.3,30.8,0,0,0,0,
"Baco",,"Possession Game 4vs4+3J, 4 Mini Goals (12*18m) Set 2",10:37:39,10:38:41,09:40:40,11:59:04,00:01:01,32,0,0,0,0,0,0,0,6.7,31.05,0,0,0,0,
"Baco",,"Possession Game 4vs4+3J, 4 Mini Goals (12*18m) Set 3",10:39:12,10:40:12,09:40:40,11:59:04,00:01:00,37,0,0,0,0,0,1,0,10.05,36.85,1,0,2.87,3,
"Baco",,"Possession Game 4vs4+3J, 4 Mini Goals (12*18m) Set 4",10:40:49,10:41:51,09:40:40,11:59:04,00:01:02,39,0,0,0,0,0,0,0,8.35,37.25,0,0,0.61,1,
"Baco",,"Possession Game 4vs4+3J, 4 Mini Goals (12*18m) Set 5",10:42:20,10:43:20,09:40:40,11:59:04,00:01:00,43,0,0,0,0,0,0.99,0,11.07,42.21,1,0,2.48,3,
"Baco",,"Possession Game 4vs4+3J, 4 Mini Goals (12*18m) Set 6",10:43:54,10:44:56,09:40:40,11:59:04,00:01:01,32,0,0,0,0,0,1.94,0,12.54,31.3,2,0,3.03,3,
"Baco",,"Possession Game 4vs4+3J, 4 Mini Goals (12*18m) Set 7",10:45:47,10:46:48,09:40:40,11:59:04,00:01:01,38,0,0,0,0,0,0.97,0,11.24,37.11,1,0,1.9,2,
"Baco",,"Possession Game 4vs4+3J, 4 Mini Goals (12*18m) Set 8",10:47:24,10:48:24,09:40:40,11:59:04,00:01:00,43,0,0,0,0,0,0.99,0,11.06,42.17,1,0,2.58,3,
