Player Last Name,Player Primary Position,Drill Title,Drill Start Time,Drill End Time,Session Start Time,Session End Time,Total Time,Total Distance,Distance Zone 4 (Absolute),Distance Zone 5 (Absolute),Distance Zone 6 (Absolute),HSR Per Minute (Absolute),Sprint Distance,Accelerations Per Min,Decelerations Per Min,Max Speed,Distance Per Min,Accelerations,Decelerations,HMLD Per Minute,HML Distance,
"Baco",,"Entire Session",11:03:14,12:30:46,10:50:14,12:46:09,01:27:30,3812,202,54,1,0.63,93,0.21,0.14,25.22,43.56,18,12,2.96,259,
"Baco",,"Entire Session - Live",11:09:51,12:24:09,10:50:14,12:46:09,01:14:17,3100,104,35,1,0.48,38,0.23,0.15,25.22,41.73,17,11,3.05,227,
"Baco",,"Warm-up, Mobility",11:12:19,11:31:25,10:50:14,12:46:09,00:19:06,913,9,0,0,0,0,0.16,0.1,16.36,47.82,3,2,1.81,35,
"Baco",,"Rondo 6vs2 (6*6m)",11:31:57,11:40:00,10:50:14,12:46:09,00:08:03,223,0,0,0,0,0,0.12,0.12,11.38,27.75,1,1,0.23,2,
"Baco",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 1",11:45:01,11:46:03,10:50:14,12:46:09,00:01:02,45,6,0,0,0,0,0,0,16.77,43.7,0,0,7.66,8,
"Baco",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 2",11:46:33,11:47:33,10:50:14,12:46:09,00:00:59,115,10,0,0,0,0,3.01,2.01,16.02,115.69,3,2,27.82,28,
"Baco",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 3",11:48:05,11:49:09,10:50:14,12:46:09,00:01:04,39,0,0,0,0,0,0,0,12.64,36.12,0,0,1.59,2,
"Baco",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 4",11:50:08,11:51:08,10:50:14,12:46:09,00:01:00,63,0,0,0,0,0,1,0,14.47,62.71,1,0,7.07,7,
"Baco",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 5",11:51:39,11:52:41,10:50:14,12:46:09,00:01:01,34,0,0,0,0,0,0.97,0.97,9.19,32.96,1,1,1.63,2,
"Baco",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 6",11:53:11,11:54:14,10:50:14,12:46:09,00:01:02,65,16,2,0,1.6,0,3.85,0.96,20.27,62.07,4,1,20.72,22,
"Baco",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 7",11:55:42,11:56:45,10:50:14,12:46:09,00:01:02,22,0,0,0,0,0,0,0,10.78,21.55,0,0,0,0,
"Baco",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 8",11:57:16,11:58:15,10:50:14,12:46:09,00:00:59,87,5,0,0,0,0,1,1,15.75,87.05,1,1,13.33,13,
"Baco",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 9",11:58:46,11:59:46,10:50:14,12:46:09,00:01:00,34,0,0,0,0,0,0,0,8.53,33.07,0,0,0,0,
"Baco",,"LSG 11vs11 (68*65m) Set 1",12:04:25,12:07:39,10:50:14,12:46:09,00:03:14,351,16,0,0,0,0,0.62,0.62,17.03,108.29,2,2,10.13,33,
"Baco",,"LSG 11vs11 (68*65m) Set 2",12:08:32,12:11:41,10:50:14,12:46:09,00:03:08,392,42,33,1,10.73,38,0.32,0.32,25.22,124.45,1,1,22.88,72,
"Glazer",,"Entire Session",11:00:53,12:40:22,10:50:14,12:46:09,01:39:28,5780,379,88,0,0.88,86,0.43,0.47,24.53,58.11,43,47,6.31,628,
"Glazer",,"Entire Session - Live",11:09:51,12:24:09,10:50:14,12:46:09,01:14:17,4420,350,70,0,0.94,66,0.54,0.44,24.53,59.49,40,33,7.47,555,
"Glazer",,"Warm-up, Mobility",11:12:19,11:31:25,10:50:14,12:46:09,00:19:06,790,22,0,0,0,0,0.1,0,16.91,41.37,2,0,1.36,26,
"Glazer",,"Rondo 6vs2 (6*6m)",11:31:57,11:40:00,10:50:14,12:46:09,00:08:03,301,0,0,0,0,0,0.62,0.12,14.29,37.39,5,1,2.3,19,
"Glazer",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 1",11:45:01,11:46:03,10:50:14,12:46:09,00:01:02,85,7,7,0,6.37,8,1.93,1.93,23.05,81.73,2,2,17.82,18,
"Glazer",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 2",11:46:33,11:47:33,10:50:14,12:46:09,00:00:59,94,19,3,0,3.36,0,1,2.01,20.3,94.63,1,2,23.99,24,
"Glazer",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 3",11:48:05,11:49:09,10:50:14,12:46:09,00:01:04,44,0,0,0,0,0,1.87,0.93,12.9,40.82,2,1,5.55,6,
"Glazer",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 4",11:50:08,11:51:08,10:50:14,12:46:09,00:01:00,110,19,4,0,3.97,0,1,3,21.8,109.85,1,3,31.81,32,
"Glazer",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 5",11:51:39,11:52:41,10:50:14,12:46:09,00:01:01,104,15,10,0,9.49,8,3.89,3.89,24.53,101.27,4,4,31.88,33,
"Glazer",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 6",11:53:11,11:54:14,10:50:14,12:46:09,00:01:02,30,0,0,0,0,0,0,0,7.64,29.05,0,0,0,0,
"Glazer",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 7",11:55:42,11:56:45,10:50:14,12:46:09,00:01:02,56,0,0,0,0,0,0.96,0,14.68,53.34,1,0,5.24,5,
"Glazer",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 8",11:57:16,11:58:15,10:50:14,12:46:09,00:00:59,95,9,10,0,10.13,11,5.02,3.01,22.64,95.38,5,3,33.73,34,
"Glazer",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 9",11:58:46,11:59:46,10:50:14,12:46:09,00:01:00,45,0,0,0,0,0,1.97,1.97,13.4,44.86,2,2,8.41,9,
"Glazer",,"LSG 11vs11 (68*65m) Set 1",12:04:25,12:07:39,10:50:14,12:46:09,00:03:14,391,56,8,0,2.4,10,0.62,0.62,23.34,120.48,2,2,21.03,68,
"Glazer",,"LSG 11vs11 (68*65m) Set 2",12:08:32,12:11:41,10:50:14,12:46:09,00:03:08,365,54,0,0,0,0,0.32,0,19.78,115.99,1,0,19.11,60,
"Glazer",,"LSG 11vs11 (68*65m) Set 3",12:12:43,12:15:58,10:50:14,12:46:09,00:03:14,328,66,8,0,2.46,6,1.54,1.85,21.18,101.3,5,6,24.52,79,
"Glazer",,"LSG 11vs11 (68*65m) Set 4",12:16:52,12:19:58,10:50:14,12:46:09,00:03:06,312,19,16,0,5.27,19,0.97,0.32,24,100.34,3,1,17.36,54,
"Glazer",,"LSG 11vs11 (68*65m) Set 5",12:20:53,12:24:05,10:50:14,12:46:09,00:03:12,354,58,4,0,1.27,5,0.94,1.56,22.02,110.58,3,5,25.19,81,
"Shalom",,"Entire Session",10:57:18,12:34:54,10:50:14,12:46:09,01:37:34,5133,313,73,13,0.88,92,0.33,0.45,27.17,52.61,32,44,4.86,474,
"Shalom",,"Entire Session - Live",11:09:51,12:24:09,10:50:14,12:46:09,01:14:17,4385,313,73,13,1.15,92,0.43,0.59,27.17,59.02,32,44,6.38,474,
"Shalom",,"Warm-up, Mobility",11:12:19,11:31:25,10:50:14,12:46:09,00:19:06,883,7,0,0,0,0,0.31,0.31,16.19,46.22,6,6,1.73,33,
"Shalom",,"Rondo 6vs2 (6*6m)",11:31:57,11:40:00,10:50:14,12:46:09,00:08:03,319,0,0,0,0,0,0.37,0.37,12.52,39.67,3,3,0.75,6,
"Shalom",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 1",11:45:01,11:46:03,10:50:14,12:46:09,00:01:02,44,0,0,0,0,0,0,0,8.58,42.76,0,0,0,0,
"Shalom",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 2",11:46:33,11:47:33,10:50:14,12:46:09,00:00:59,54,6,0,0,0,0,0,1,17.58,53.76,0,1,7.93,8,
"Shalom",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 3",11:48:05,11:49:09,10:50:14,12:46:09,00:01:04,99,31,1,0,1.04,0,0.93,2.8,20.18,92.37,1,3,33.89,36,
"Shalom",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 4",11:50:08,11:51:08,10:50:14,12:46:09,00:01:00,58,9,0,0,0,0,1,0,19.44,58.03,1,0,8.98,9,
"Shalom",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 5",11:51:39,11:52:41,10:50:14,12:46:09,00:01:01,45,0,0,0,0,0,0,0,9.66,43.99,0,0,1.48,2,
"Shalom",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 6",11:53:11,11:54:14,10:50:14,12:46:09,00:01:02,86,6,0,0,0,0,0.96,2.88,17.68,82.62,1,3,10.15,11,
"Shalom",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 7",11:55:42,11:56:45,10:50:14,12:46:09,00:01:02,24,0,0,0,0,0,0,0,8.13,22.56,0,0,0.63,1,
"Shalom",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 8",11:57:16,11:58:15,10:50:14,12:46:09,00:00:59,78,0,0,0,0,0,2.01,3.01,14.9,78.43,2,3,6.12,6,
"Shalom",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 9",11:58:46,11:59:46,10:50:14,12:46:09,00:01:00,79,12,0,0,0,0,0,1.97,17.78,77.81,0,2,15.61,16,
"Shalom",,"LSG 11vs11 (68*65m) Set 1",12:04:25,12:07:39,10:50:14,12:46:09,00:03:14,415,73,1,0,0.34,0,0.62,0.31,20.18,127.94,2,1,22.98,74,
"Shalom",,"LSG 11vs11 (68*65m) Set 2",12:08:32,12:11:41,10:50:14,12:46:09,00:03:08,350,23,1,0,0.18,0,1.59,1.91,19.92,111.29,5,6,17.33,55,
"Shalom",,"LSG 11vs11 (68*65m) Set 3",12:12:43,12:15:58,10:50:14,12:46:09,00:03:14,360,52,23,4,8.3,32,1.24,2.16,26.52,111.14,4,7,24.46,79,
"Shalom",,"LSG 11vs11 (68*65m) Set 4",12:16:52,12:19:58,10:50:14,12:46:09,00:03:06,317,31,18,0,5.95,18,0.97,0.64,24.26,101.92,3,2,17.68,55,
"Shalom",,"LSG 11vs11 (68*65m) Set 5",12:20:53,12:24:05,10:50:14,12:46:09,00:03:12,401,61,28,9,11.73,42,1.25,1.56,27.17,125.38,4,5,25.62,82,
"Revivo",,"Entire Session",10:58:02,12:35:32,10:50:14,12:46:09,01:37:28,5241,371,104,64,1.72,175,0.59,0.46,29.32,53.76,58,45,6.37,621,
"Revivo",,"Entire Session - Live",11:09:51,12:24:09,10:50:14,12:46:09,01:14:17,4307,349,104,64,2.26,175,0.73,0.57,29.32,57.97,54,42,8.26,614,
"Revivo",,"Warm-up, Mobility",11:12:19,11:31:25,10:50:14,12:46:09,00:19:06,931,18,1,0,0.03,0,0.42,0.31,20.42,48.72,8,6,2.31,44,
"Revivo",,"Rondo 6vs2 (6*6m)",11:31:57,11:40:00,10:50:14,12:46:09,00:08:03,228,0,0,0,0,0,0.37,0.25,12.08,28.28,3,2,0.64,5,
"Revivo",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 1",11:45:01,11:46:03,10:50:14,12:46:09,00:01:02,34,0,0,0,0,0,0.97,0,11.97,32.57,1,0,1.88,2,
"Revivo",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 2",11:46:33,11:47:33,10:50:14,12:46:09,00:00:59,89,10,7,0,7.18,9,3.01,3.01,22.68,89.29,3,3,24.74,25,
"Revivo",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 3",11:48:05,11:49:09,10:50:14,12:46:09,00:01:04,94,10,0,0,0,0,3.74,0.93,17.73,88.04,4,1,18.85,20,
"Revivo",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 4",11:50:08,11:51:08,10:50:14,12:46:09,00:01:00,77,12,0,0,0,0,3,2,19.51,77.35,3,2,18.96,19,
"Revivo",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 5",11:51:39,11:52:41,10:50:14,12:46:09,00:01:01,81,10,0,0,0,0,1.94,2.92,18.99,79.22,2,3,18.66,19,
"Revivo",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 6",11:53:11,11:54:14,10:50:14,12:46:09,00:01:02,64,0,0,0,0,0,2.88,3.85,14,61.42,3,4,7.65,8,
"Revivo",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 7",11:55:42,11:56:45,10:50:14,12:46:09,00:01:02,116,30,3,0,2.71,0,2.88,3.83,20.73,111.15,3,4,35.22,37,
"Revivo",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 8",11:57:16,11:58:15,10:50:14,12:46:09,00:00:59,90,20,2,0,2.24,0,3.01,2.01,20.22,90,3,2,23.58,24,
"Revivo",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 9",11:58:46,11:59:46,10:50:14,12:46:09,00:01:00,99,26,11,0,10.97,12,1.97,1.97,22.91,97.27,2,2,35.4,36,
"Revivo",,"LSG 11vs11 (68*65m) Set 1",12:04:25,12:07:39,10:50:14,12:46:09,00:03:14,365,35,21,21,13.18,47,1.23,0.62,29.32,112.7,4,2,26.12,85,
"Revivo",,"LSG 11vs11 (68*65m) Set 2",12:08:32,12:11:41,10:50:14,12:46:09,00:03:08,359,55,22,4,8.43,33,1.59,1.59,26.81,113.88,5,5,27.43,86,
"Revivo",,"LSG 11vs11 (68*65m) Set 3",12:12:43,12:15:58,10:50:14,12:46:09,00:03:14,371,45,31,38,21.35,69,0.31,0.31,28.5,114.65,1,1,31.03,100,
"Revivo",,"LSG 11vs11 (68*65m) Set 4",12:16:52,12:19:58,10:50:14,12:46:09,00:03:06,256,10,0,0,0,0,1.61,0.64,18.58,82.22,5,2,9.58,30,
"Revivo",,"LSG 11vs11 (68*65m) Set 5",12:20:53,12:24:05,10:50:14,12:46:09,00:03:12,319,68,6,0,1.79,5,0.62,0.62,21.17,99.68,2,2,21.36,68,
"Yao",,"Entire Session",11:04:10,12:35:29,10:50:14,12:46:09,01:31:17,3149,246,52,17,0.76,81,0.42,0.31,30.83,34.5,38,28,4.16,380,
"Yao",,"Entire Session - Live",11:09:51,12:24:09,10:50:14,12:46:09,01:14:17,2710,246,52,17,0.93,81,0.51,0.38,30.83,36.47,38,28,5.11,380,
"Yao",,"Warm-up, Mobility",11:12:19,11:31:25,10:50:14,12:46:09,00:19:06,788,6,0,0,0,0,0.26,0.21,16.72,41.25,5,4,1.62,31,
"Yao",,"Rondo 6vs2 (6*6m)",11:31:57,11:40:00,10:50:14,12:46:09,00:08:03,180,0,0,0,0,0,0,0.12,10.75,22.3,0,1,0.17,1,
"Yao",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 1",11:45:01,11:46:03,10:50:14,12:46:09,00:01:02,53,7,0,0,0,0,0.97,0.97,16.66,51.25,1,1,13.74,14,
"Yao",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 2",11:46:33,11:47:33,10:50:14,12:46:09,00:00:59,68,5,0,0,0,0,2.01,3.01,16.27,68.14,2,3,17.2,17,
"Yao",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 3",11:48:05,11:49:09,10:50:14,12:46:09,00:01:04,73,6,0,0,0,0,3.74,1.87,15.52,68.44,4,2,12.02,13,
"Yao",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 4",11:50:08,11:51:08,10:50:14,12:46:09,00:01:00,41,1,0,0,0,0,1,1,14.91,40.87,1,1,8.16,8,
"Yao",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 5",11:51:39,11:52:41,10:50:14,12:46:09,00:01:01,34,0,0,0,0,0,0.97,0,10.72,32.63,1,0,0.65,1,
"Yao",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 6",11:53:11,11:54:14,10:50:14,12:46:09,00:01:02,120,23,5,0,4.91,8,4.81,4.81,21.34,115.61,5,5,42.74,44,
"Yao",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 7",11:55:42,11:56:45,10:50:14,12:46:09,00:01:02,73,18,0,0,0,0,1.92,2.88,18.54,69.88,2,3,22.94,24,
"Yao",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 8",11:57:16,11:58:15,10:50:14,12:46:09,00:00:59,71,5,0,0,0,0,2.01,1,15.72,71.53,2,1,13.88,14,
"Yao",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 9",11:58:46,11:59:46,10:50:14,12:46:09,00:01:00,74,20,9,0,9.16,10,1.97,1.97,22.18,73.12,2,2,29.95,30,
"Yao",,"LSG 11vs11 (68*65m) Set 1",12:04:25,12:07:39,10:50:14,12:46:09,00:03:14,353,87,6,0,2,7,1.85,0.93,22.7,109.04,6,3,21.83,71,
"Yao",,"LSG 11vs11 (68*65m) Set 2",12:08:32,12:11:41,10:50:14,12:46:09,00:03:08,366,68,31,17,15.36,56,1.27,0.64,30.83,116.28,4,2,34.05,107,
"Agvadish",,"Entire Session",11:03:20,12:35:14,10:50:14,12:46:09,01:31:52,5024,371,107,42,1.62,177,0.62,0.47,32.67,54.68,57,43,6.26,575,
"Agvadish",,"Entire Session - Live",11:09:51,12:24:09,10:50:14,12:46:09,01:14:17,4377,371,107,42,2,177,0.77,0.58,32.67,58.91,57,43,7.73,574,
"Agvadish",,"Warm-up, Mobility",11:12:19,11:31:25,10:50:14,12:46:09,00:19:06,916,5,0,0,0,0,0.42,0.42,16.33,47.94,8,8,1.76,34,
"Agvadish",,"Rondo 6vs2 (6*6m)",11:31:57,11:40:00,10:50:14,12:46:09,00:08:03,300,1,0,0,0,0,0.99,0.62,15.29,37.23,8,5,2.25,18,
"Agvadish",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 1",11:45:01,11:46:03,10:50:14,12:46:09,00:01:02,103,29,1,0,0.55,0,5.8,3.86,20.5,99.22,6,4,32.94,34,
"Agvadish",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 2",11:46:33,11:47:33,10:50:14,12:46:09,00:00:59,41,0,0,0,0,0,0,0,10.21,40.7,0,0,0.51,1,
"Agvadish",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 3",11:48:05,11:49:09,10:50:14,12:46:09,00:01:04,94,9,11,0,9.97,12,1.87,0.93,22.88,87.43,2,1,17.93,19,
"Agvadish",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 4",11:50:08,11:51:08,10:50:14,12:46:09,00:01:00,66,0,0,0,0,0,1,2,10.88,66.06,1,2,5.55,6,
"Agvadish",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 5",11:51:39,11:52:41,10:50:14,12:46:09,00:01:01,37,0,0,0,0,0,0,0,8.86,35.6,0,0,0,0,
"Agvadish",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 6",11:53:11,11:54:14,10:50:14,12:46:09,00:01:02,82,4,0,0,0,0,2.88,0.96,16.59,78.77,3,1,14.67,15,
"Agvadish",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 7",11:55:42,11:56:45,10:50:14,12:46:09,00:01:02,79,13,11,2,12.76,13,0.96,0.96,25.57,75.98,1,1,23.71,25,
"Agvadish",,"Possession Game 6vs3+3, 6 Mini Goas (2 Squares, 8*12m, 7m), Set 8",11:57:16,11:58:15,10:50:14,12:46:09,00:00:59,37,0,0,0,0,0,0,0,7.71,37.09,0,0,0,0,
