Player Last Name,Player Primary Position,Drill Title,Drill Start Time,Drill End Time,Session Start Time,Session End Time,Total Time,Total Distance,Distance Zone 4 (Absolute),Distance Zone 5 (Absolute),Distance Zone 6 (Absolute),HSR Per Minute (Absolute),Sprint Distance,Accelerations Per Min,Decelerations Per Min,Max Speed,Distance Per Min,Accelerations,Decelerations,HMLD Per Minute,HML Distance,
"Baco",,"Entire Session",10:16:27,11:40:20,09:53:51,12:03:31,01:23:49,4372,213,27,0,0.33,34,0.56,0.26,22.83,52.16,47,22,5.07,425,
"Baco",,"Entire Session - Live",10:21:42,11:31:52,09:53:51,12:03:31,01:10:09,3757,213,27,0,0.39,34,0.67,0.3,22.83,53.55,47,21,5.95,418,
"Baco",,"Rondo 6vs2 (6*6m)",10:24:52,10:44:53,09:53:51,12:03:31,00:20:00,511,0,0,0,0,0,0.1,0,11.32,25.54,2,0,0.49,10,
"Baco",,"Defense, Technical-Tactical, Set 1",10:52:24,10:58:52,09:53:51,12:03:31,00:06:27,369,26,0,0,0,0,1.08,0,18.61,57.2,7,0,7.85,51,
"Baco",,"Defense, Technical-Tactical, Set 2",10:59:50,11:06:37,09:53:51,12:03:31,00:06:47,428,36,7,0,1,10,2.21,1.18,20.88,63.03,15,8,10.54,72,
"Baco",,"SSG 7vs7, 4 Teams Tournament, 2 Fields (28*42m) Set 1",11:13:26,11:15:29,09:53:51,12:03:31,00:02:02,221,27,0,0,0,0,0.98,0.49,18.05,107.58,2,1,18.26,37,
"Baco",,"SSG 7vs7, 4 Teams Tournament, 2 Fields (28*42m) Set 2",11:16:33,11:18:42,09:53:51,12:03:31,00:02:08,237,33,7,0,3.31,8,0.47,0.47,22.83,110.42,1,1,22.51,48,
"Baco",,"SSG 7vs7, 4 Teams Tournament, 2 Fields (28*42m) Set 3",11:20:01,11:22:03,09:53:51,12:03:31,00:02:02,219,19,0,0,0,0,2.46,0.98,19.43,107.5,5,2,20.44,42,
"Baco",,"SSG 7vs7, 4 Teams Tournament, 2 Fields (28*42m) Set 4",11:23:05,11:25:06,09:53:51,12:03:31,00:02:01,207,23,11,0,5.54,16,0.49,1.48,22.08,102.23,1,3,22.64,46,
"Baco",,"SSG 7vs7, 4 Teams Tournament, 2 Fields (28*42m) Set 5",11:26:33,11:28:53,09:53:51,12:03:31,00:02:20,229,20,0,0,0,0,2.57,0,17.21,98.18,6,0,18.15,42,
