Player Last Name,Player Primary Position,Drill Title,Drill Start Time,Drill End Time,Session Start Time,Session End Time,Total Time,Total Distance,Distance Zone 4 (Absolute),Distance Zone 5 (Absolute),Distance Zone 6 (Absolute),HSR Per Minute (Absolute),Sprint Distance,Accelerations Per Min,Decelerations Per Min,Max Speed,Distance Per Min,Accelerations,Decelerations,HMLD Per Minute,HML Distance,
"Shalom",,"Entire Session",11:48:34,13:18:22,11:41:54,13:18:55,01:29:46,5464,318,285,17,3.36,332,0.47,0.39,28.13,60.86,42,35,8.76,786,
"Shalom",,"Warm-up, Mobility",11:55:51,12:00:00,11:41:54,13:18:55,00:04:08,99,0,0,0,0,0,0,0,6.16,23.75,0,0,0,0,
"Shalom",,"Rondo 8vs2 (6*6m)",12:00:27,12:12:27,11:41:54,13:18:55,00:12:00,384,0,0,0,0,0,0.08,0.08,10.59,32,1,1,0.24,3,
"Shalom",,"Entire Session - Live",12:02:10,13:14:14,11:41:54,13:18:55,01:12:04,4985,318,285,17,4.18,332,0.58,0.49,28.13,69.17,42,35,10.9,786,
"Shalom",,"Possession Game 6vs3, 3 Groups of 3, Permanent Defense (10*16m) Set 1",12:14:35,12:16:06,11:41:54,13:18:55,00:01:30,111,0,0,0,0,0,2.65,1.99,14.04,73.49,4,3,11.02,17,
"Shalom",,"Possession Game 6vs3, 3 Groups of 3, Permanent Defense (10*16m) Set 2",12:16:51,12:18:22,11:41:54,13:18:55,00:01:31,163,8,0,0,0,0,2.63,1.98,16.56,107.39,4,3,22.37,34,
"Shalom",,"Possession Game 6vs3, 3 Groups of 3, Permanent Defense (10*16m) Set 3",12:19:08,12:20:38,11:41:54,13:18:55,00:01:30,77,0,0,0,0,0,0,0,12.45,51.55,0,0,2.44,4,
"Shalom",,"Possession Game 6vs3, 3 Groups of 3, Permanent Defense (10*16m) Set 4",12:22:08,12:23:39,11:41:54,13:18:55,00:01:30,101,0,0,0,0,0,1.33,0,11.86,67.14,2,0,6.77,10,
"Shalom",,"Possession Game 6vs3, 3 Groups of 3, Permanent Defense (10*16m) Set 5",12:24:25,12:25:58,11:41:54,13:18:55,00:01:32,165,0,0,0,0,0,1.29,2.59,14.27,106.37,2,4,17.82,28,
"Shalom",,"Possession Game 6vs3, 3 Groups of 3, Permanent Defense (10*16m) Set 6",12:26:42,12:28:14,11:41:54,13:18:55,00:01:31,108,0,0,0,0,0,0.66,0.66,14.06,70.94,1,1,7.9,12,
"Shalom",,"SSG 5vs5 (26*39m) Set 1",12:33:49,12:36:20,11:41:54,13:18:55,00:02:31,268,26,3,0,1.11,0,1.19,0.79,20.57,106.13,3,2,18.13,46,
"Shalom",,"SSG 5vs5 (26*39m) Set 2",12:37:19,12:39:53,11:41:54,13:18:55,00:02:33,295,46,22,0,8.55,18,2.34,1.95,24.89,115.14,6,5,30.46,78,
"Shalom",,"SSG 5vs5 (26*39m) Set 3",12:40:51,12:43:23,11:41:54,13:18:55,00:02:32,281,27,20,0,7.7,20,1.97,1.97,24.76,110.45,5,5,24.81,63,
"Shalom",,"SSG 5vs5 (26*39m) Set 4",12:44:35,12:47:07,11:41:54,13:18:55,00:02:32,290,48,7,0,2.8,11,1.58,0.39,22.67,114.34,4,1,20.52,52,
"Shalom",,"SSG 5vs5 (26*39m) Set 5",12:48:07,12:50:39,11:41:54,13:18:55,00:02:31,279,29,4,0,1.59,6,0.4,1.19,21.81,110.72,1,3,20,50,
"Shalom",,"SSG 5vs5 (26*39m) Set 6",12:51:43,12:54:12,11:41:54,13:18:55,00:02:29,298,36,12,4,6.35,17,0.81,0.81,28.13,120.13,2,2,27.99,70,
"Shalom",,"SSG 5vs5 (26*39m) Set 7",12:55:10,12:57:40,11:41:54,13:18:55,00:02:30,235,10,0,0,0,0,1.2,1.2,18.92,93.77,3,3,16.88,42,
"Shalom",,"SSG 5vs5 (26*39m) Set 8",12:58:46,13:01:13,11:41:54,13:18:55,00:02:27,259,9,0,0,0,0,1.22,0.41,19.05,105.7,3,1,15.1,37,
"Shalom",,"Accelerations 73m (Box to Box) 12''/40''",13:05:12,13:09:11,11:41:54,13:18:55,00:03:58,420,77,217,13,57.88,260,0,0,26.33,105.6,0,0,58.14,231,
"Agvadish",,"Entire Session",11:48:04,13:18:43,11:41:54,13:18:55,01:30:38,5234,417,320,68,4.28,414,0.81,0.64,28.81,57.75,73,58,10.01,907,
"Agvadish",,"Warm-up, Mobility",11:55:51,12:00:00,11:41:54,13:18:55,00:04:08,96,0,0,0,0,0,0,0,10.3,23.21,0,0,0.06,0,
"Agvadish",,"Rondo 8vs2 (6*6m)",12:00:27,12:12:27,11:41:54,13:18:55,00:12:00,296,0,0,0,0,0,0.42,0.17,12.82,24.64,5,2,0.73,9,
"Agvadish",,"Entire Session - Live",12:02:10,13:14:14,11:41:54,13:18:55,01:12:04,4844,417,320,68,5.38,414,0.99,0.79,28.81,67.21,71,57,12.48,900,
